Sample,Actual Class,Predicted Class,Truth
1,1,1,True
2,0,0,True
3,1,1,True
4,0,0,True
5,0,0,True
6,0,0,True
7,0,1,False
8,0,1,False
9,0,0,True
10,0,0,True
11,0,0,True
12,0,0,True
13,1,0,False
14,0,1,False
15,0,1,False
16,0,0,True
17,0,1,False
18,0,0,True
19,0,0,True
20,0,0,True
21,1,1,True
22,1,1,True
23,0,0,True
24,0,1,False
25,0,0,True
26,0,0,True
27,1,1,True
28,0,0,True
29,0,0,True
30,0,0,True
31,1,1,True
32,0,0,True
33,0,0,True
34,0,0,True
35,0,1,False
36,0,0,True
37,0,0,True
38,0,0,True
39,0,1,False
40,0,0,True
41,0,1,False
42,1,0,False
43,0,0,True
44,0,0,True
45,0,0,True
46,0,0,True
47,0,1,False
48,0,0,True
49,0,1,False
50,0,1,False
51,0,0,True
52,0,0,True
53,0,1,False
54,0,0,True
55,0,0,True
56,0,0,True
57,1,0,False
58,1,0,False
59,0,0,True
60,0,1,False
61,1,0,False
62,0,0,True
63,0,0,True
64,0,0,True
65,0,1,False
66,0,0,True
67,1,0,False
68,0,0,True
69,0,0,True
70,0,0,True
71,1,1,True
72,0,0,True
73,1,1,True
74,0,0,True
75,0,0,True
76,0,0,True
77,0,0,True
78,0,0,True
79,0,1,False
80,0,0,True
81,1,1,True
82,0,1,False
83,1,0,False
84,1,1,True
85,1,1,True
86,0,0,True
87,0,1,False
88,0,0,True
89,0,0,True
90,0,0,True
91,0,0,True
92,0,0,True
93,0,0,True
94,0,0,True
95,0,0,True
96,0,1,False
97,0,0,True
98,0,0,True
99,0,0,True
100,0,0,True
101,0,0,True
102,0,0,True
103,0,1,False
104,0,0,True
105,0,0,True
106,1,0,False
107,0,0,True
108,0,0,True
109,0,0,True
110,0,0,True
111,0,0,True
112,0,0,True
113,0,1,False
114,0,0,True
115,0,0,True
116,0,0,True
117,0,0,True
118,0,0,True
119,0,0,True
120,1,1,True
121,0,0,True
122,0,0,True
123,0,0,True
124,0,0,True
125,0,1,False
126,0,1,False
127,0,0,True
128,0,0,True
129,0,0,True
130,0,0,True
131,0,1,False
132,0,1,False
133,0,0,True
134,0,1,False
135,0,0,True
136,0,1,False
137,0,1,False
