epoch,train-acc,train-loss,valid-acc,valid-loss,valid-precision,valid-recall,valid-f1.0-score,valid-f0.5-score,valid-tp,valid-fp,valid-fn,valid-tn,test-acc,test-loss,test-precision,test-recall,test-f1.0-score,test-f0.5-score,test-tp,test-fp,test-fn,test-tn
1,0.53125,0.97800744,0.6853448,3.562574625015259,0.6853448275862069,1.0,0.8132992327365729,0.7313707451701932,159,73,0,0,0.7077922,3.294870376586914,0.7077922077922078,1.0,0.8288973384030417,0.7517241379310344,218,90,0,0
2,0.484375,5.5607367,0.6853448,1.5172812938690186,0.6853448275862069,1.0,0.8132992327365729,0.7313707451701932,159,73,0,0,0.7077922,1.4199210405349731,0.7077922077922078,1.0,0.8288973384030417,0.7517241379310344,218,90,0,0
3,0.46875,2.1744766,0.31465518,2.14306378364563,0.0,0.0,0.0,0.0,0,0,159,73,0.29545453,2.1974589824676514,1.0,0.0045871559633027525,0.0091324200913242,0.022522522522522525,1,0,217,90
4,0.46875,1.8974456,0.32327586,1.4671506881713867,0.6,0.03773584905660377,0.07100591715976332,0.15075376884422112,6,4,153,69,0.31493506,1.5269137620925903,0.7692307692307693,0.045871559633027525,0.08658008658008658,0.18518518518518517,10,3,208,87
5,0.578125,0.9978183,0.69827586,0.7777352929115295,0.7031963470319634,0.9685534591194969,0.8148148148148148,0.7439613526570048,154,65,5,8,0.72077924,0.7161831259727478,0.7275862068965517,0.9678899082568807,0.8307086614173228,0.7656023222060959,211,79,7,11
6,0.578125,0.875572,0.7112069,1.1204020977020264,0.7035398230088495,1.0,0.8259740259740259,0.7478833490122295,159,67,0,6,0.71103895,1.013773798942566,0.7142857142857143,0.9862385321100917,0.8285163776493255,0.7559774964838256,215,86,3,4
7,0.515625,1.5732348,0.6896552,0.7729805707931519,0.7061611374407583,0.9371069182389937,0.8054054054054054,0.7427716849451644,149,62,10,11,0.74025977,0.6917190551757812,0.7429577464788732,0.9678899082568807,0.8406374501992032,0.7791728212703101,211,73,7,17
8,0.640625,0.9467615,0.44396552,0.9736848473548889,0.734375,0.29559748427672955,0.4215246636771301,0.5662650602409639,47,17,112,56,0.4383117,0.9564595222473145,0.7528089887640449,0.3073394495412844,0.4364820846905537,0.5836236933797908,67,22,151,68
9,0.5,0.8581118,0.31034482,1.9681586027145386,0.0,0.0,0.0,0.0,0,1,159,72,0.2987013,1.9927542209625244,1.0,0.009174311926605505,0.018181818181818184,0.04424778761061947,2,0,216,90
10,0.53125,1.1699076,0.31034482,2.0388591289520264,0.0,0.0,0.0,0.0,0,1,159,72,0.30194804,2.0348708629608154,0.8,0.01834862385321101,0.03587443946188341,0.08403361344537816,4,1,214,89
11,0.421875,1.3677614,0.38362068,1.2276513576507568,0.6666666666666666,0.20125786163522014,0.30917874396135264,0.45584045584045574,32,16,127,57,0.44805196,1.190306544303894,0.8076923076923077,0.2889908256880734,0.4256756756756757,0.5943396226415094,63,15,155,75
12,0.515625,1.0025634,0.5862069,0.8238251805305481,0.7058823529411765,0.6792452830188679,0.6923076923076923,0.7003891050583658,108,45,51,28,0.6103896,0.7517679333686829,0.75,0.6743119266055045,0.7101449275362318,0.7335329341317365,147,49,71,41
13,0.53125,1.095253,0.63793105,0.7857298851013184,0.7049180327868853,0.8113207547169812,0.7543859649122806,0.7239057239057239,129,54,30,19,0.64285713,0.6946919560432434,0.7327586206896551,0.7798165137614679,0.7555555555555554,0.7417102966841186,170,62,48,28
14,0.5625,0.9800943,0.64224136,0.729718029499054,0.7021276595744681,0.8301886792452831,0.760806916426513,0.7244785949506037,132,56,27,17,0.6753247,0.650056779384613,0.743801652892562,0.8256880733944955,0.7826086956521738,0.7588532883642494,180,62,38,28
15,0.578125,0.7666851,0.6163793,0.6993458271026611,0.7160493827160493,0.7295597484276729,0.7227414330218067,0.7187112763320941,116,46,43,27,0.66558444,0.6460922360420227,0.7725118483412322,0.7477064220183486,0.7599067599067598,0.7674199623352165,163,48,55,42
16,0.59375,0.74401474,0.5646552,0.7435246109962463,0.75,0.5471698113207547,0.6327272727272726,0.6982343499197432,87,29,72,44,0.5779221,0.7242190837860107,0.7933333333333333,0.5458715596330275,0.6467391304347825,0.7273838630806846,119,31,99,59
17,0.484375,0.83331436,0.47413793,0.819668710231781,0.7466666666666667,0.3522012578616352,0.4786324786324786,0.6100217864923747,56,19,103,54,0.41883117,0.8332149982452393,0.7671232876712328,0.25688073394495414,0.3848797250859107,0.5490196078431373,56,17,162,73
18,0.640625,0.61308026,0.44827586,0.9281532168388367,0.7627118644067796,0.2830188679245283,0.4128440366972477,0.5696202531645569,45,14,114,59,0.39285713,0.9795915484428406,0.7719298245614035,0.2018348623853211,0.32,0.49327354260089684,44,13,174,77
19,0.53125,0.76638234,0.49568966,0.8499863743782043,0.7625,0.3836477987421384,0.5104602510460251,0.6367432150313153,61,19,98,54,0.45779222,0.9075286388397217,0.7802197802197802,0.3256880733944954,0.459546925566343,0.6099656357388316,71,20,147,70
20,0.546875,0.7824077,0.5862069,0.7159239649772644,0.7368421052631579,0.6163522012578616,0.6712328767123287,0.7091172214182344,98,35,61,38,0.53571427,0.7519745230674744,0.7329192546583851,0.5412844036697247,0.6226912928759895,0.6844547563805103,118,43,100,47
21,0.5,0.8329904,0.6551724,0.640792727470398,0.7283236994219653,0.7924528301886793,0.7590361445783133,0.7403055229142186,126,47,33,26,0.65584415,0.6486266255378723,0.7393162393162394,0.7935779816513762,0.7654867256637169,0.7495667244367418,173,61,45,29
