epoch,train-acc,train-loss,valid-acc,valid-loss,valid-precision,valid-recall,valid-f1.0-score,valid-f0.5-score,valid-tp,valid-fp,valid-fn,valid-tn,test-acc,test-loss,test-precision,test-recall,test-f1.0-score,test-f0.5-score,test-tp,test-fp,test-fn,test-tn
1,0.484375,0.88284266,0.21551724,6.681441783905029,0.0,0.0,0.0,0.0,0,0,182,50,0.30194804,5.951148986816406,0.0,0.0,0.0,0.0,0,0,215,93
2,0.4375,4.5004535,0.5862069,0.8091297745704651,0.8115942028985508,0.6153846153846154,0.7000000000000001,0.7629427792915532,112,26,70,24,0.5779221,0.7815458178520203,0.7374301675977654,0.6139534883720931,0.6700507614213198,0.7089151450053706,132,47,83,46
3,0.5625,1.0769486,0.7413793,0.6256374716758728,0.7932692307692307,0.9065934065934066,0.8461538461538461,0.8136094674556213,165,43,17,7,0.6980519,0.7300771474838257,0.7210144927536232,0.9255813953488372,0.8105906313645621,0.7543593631539044,199,77,16,16
4,0.578125,1.308809,0.33620688,0.9930036067962646,0.7058823529411765,0.26373626373626374,0.38399999999999995,0.5286343612334803,48,20,134,30,0.4318182,0.9630515575408936,0.717391304347826,0.30697674418604654,0.4299674267100977,0.5660377358490567,66,26,149,67
5,0.53125,0.91371846,0.21551724,2.1861047744750977,0.5,0.02197802197802198,0.042105263157894736,0.09345794392523366,4,4,178,46,0.29545453,2.0419840812683105,0.375,0.013953488372093023,0.026905829596412554,0.06072874493927125,3,5,212,88
6,0.453125,1.266669,0.31896552,1.2753865718841553,0.7,0.23076923076923078,0.34710743801652894,0.49763033175355453,42,18,140,32,0.36038962,1.2398414611816406,0.640625,0.19069767441860466,0.2939068100358423,0.43524416135881105,41,23,174,70
7,0.5625,0.7955749,0.5905172,0.7179874777793884,0.7770700636942676,0.6703296703296703,0.71976401179941,0.7530864197530865,122,35,60,15,0.5487013,0.7588781118392944,0.7043010752688172,0.6093023255813953,0.6533665835411471,0.6830031282586027,131,55,84,38
8,0.546875,0.7894614,0.7284483,0.6253160238265991,0.8020304568527918,0.8681318681318682,0.8337730870712401,0.8144329896907216,158,39,24,11,0.6363636,0.6821226477622986,0.708502024291498,0.813953488372093,0.7575757575757576,0.7273482959268496,175,72,40,21
9,0.546875,0.8195714,0.5387931,0.7460220456123352,0.7737226277372263,0.5824175824175825,0.664576802507837,0.7260273972602741,106,31,76,19,0.52597404,0.7544546723365784,0.7315436241610739,0.5069767441860465,0.598901098901099,0.6720098643649816,109,40,106,53
10,0.375,0.949388,0.31034482,1.0309727191925049,0.7894736842105263,0.16483516483516483,0.2727272727272727,0.4491017964071856,30,8,152,42,0.37662336,0.9894062280654907,0.7804878048780488,0.14883720930232558,0.25,0.4221635883905013,32,9,183,84
