epoch,train-acc,train-loss,valid-acc,valid-loss,valid-precision,valid-recall,valid-f1.0-score,valid-f0.5-score,valid-tp,valid-fp,valid-fn,valid-tn,test-acc,test-loss,test-precision,test-recall,test-f1.0-score,test-f0.5-score,test-tp,test-fp,test-fn,test-tn
1,0.53125,0.8858504,0.12068965,3.359142541885376,0.0,0.0,0.0,0.0,0,0,204,28,0.14285715,3.2099475860595703,0.0,0.0,0.0,0.0,0,1,263,44
2,0.46875,1.8839629,0.8448276,0.5689321756362915,0.9285714285714286,0.8921568627450981,0.9099999999999999,0.9210526315789475,182,14,22,14,0.83766234,0.5461829304695129,0.9080459770114943,0.9011406844106464,0.9045801526717557,0.9066564651874521,237,24,26,21
3,0.640625,1.2729341,0.8534483,0.609423816204071,0.925,0.9068627450980392,0.9158415841584158,0.9213147410358565,185,15,19,13,0.84415585,0.5994940996170044,0.908745247148289,0.908745247148289,0.908745247148289,0.908745247148289,239,24,24,21
4,0.640625,1.1599041,0.7586207,0.833633303642273,0.9512195121951219,0.7647058823529411,0.8478260869565216,0.9069767441860465,156,8,48,20,0.7435065,0.7515857815742493,0.9107142857142857,0.7756653992395437,0.837782340862423,0.8800690250215704,204,20,59,25
5,0.703125,0.95218337,0.17672414,2.41809344291687,1.0,0.06372549019607843,0.11981566820276497,0.25390625,13,0,191,28,0.2012987,2.318042755126953,1.0,0.06463878326996197,0.12142857142857143,0.25679758308157097,17,0,246,45
6,0.5,1.0186093,0.3577586,1.7593129873275757,0.9661016949152542,0.27941176470588236,0.43346007604562736,0.6477272727272727,57,2,147,26,0.36363637,1.6808243989944458,0.971830985915493,0.2623574144486692,0.41317365269461076,0.6307129798903108,69,2,194,43
7,0.59375,1.0123494,0.76293105,0.7241084575653076,0.9515151515151515,0.7696078431372549,0.8509485094850948,0.9085648148148149,157,8,47,20,0.7694805,0.6738981008529663,0.9137931034482759,0.8060836501901141,0.8565656565656566,0.8900083963056257,212,20,51,25
8,0.75,0.63723457,0.82758623,0.5801214575767517,0.9361702127659575,0.8627450980392157,0.8979591836734694,0.9205020920502092,176,12,28,16,0.83116883,0.5410417318344116,0.9137254901960784,0.8859315589353612,0.8996138996138996,0.9080280592361653,233,22,30,23
9,0.609375,1.4845707,0.82758623,0.5321730971336365,0.9361702127659575,0.8627450980392157,0.8979591836734694,0.9205020920502092,176,12,28,16,0.83116883,0.49136024713516235,0.9137254901960784,0.8859315589353612,0.8996138996138996,0.9080280592361653,233,22,30,23
10,0.625,0.8447515,0.74568963,0.6464855670928955,0.9447852760736196,0.7549019607843137,0.8392370572207084,0.8995327102803738,154,9,50,19,0.762987,0.5811648964881897,0.9318181818181818,0.779467680608365,0.8488612836438924,0.8967629046369203,205,15,58,30
11,0.734375,0.75463915,0.46551725,1.0609132051467896,0.9761904761904762,0.4019607843137255,0.5694444444444444,0.7592592592592592,82,2,122,26,0.5194805,0.9598848223686218,0.9752066115702479,0.44866920152091255,0.6145833333333334,0.7898259705488622,118,3,145,42
12,0.671875,0.6847025,0.2413793,1.5102651119232178,1.0,0.13725490196078433,0.24137931034482762,0.4430379746835443,28,0,176,28,0.23701298,1.4029150009155273,0.9375,0.11406844106463879,0.20338983050847456,0.38363171355498726,30,2,233,43
13,0.5625,0.9049753,0.2974138,1.3138692378997803,0.9767441860465116,0.20588235294117646,0.340080971659919,0.5585106382978723,42,1,162,27,0.2792208,1.225414752960205,0.9555555555555556,0.1634980988593156,0.27922077922077926,0.4853273137697517,43,2,220,43
14,0.625,0.7336673,0.47413793,0.863175630569458,0.9767441860465116,0.4117647058823529,0.5793103448275863,0.7664233576642335,84,2,120,26,0.52597404,0.7965362071990967,0.968,0.4600760456273764,0.6237113402061856,0.7929226736566186,121,4,142,41
15,0.578125,0.75969076,0.7887931,0.4812614619731903,0.9428571428571428,0.8088235294117647,0.8707124010554089,0.9126106194690266,165,10,39,18,0.8149351,0.4488145411014557,0.9256198347107438,0.8517110266159695,0.8871287128712871,0.9098294069861903,224,18,39,27
16,0.6875,0.61298096,0.82758623,0.3638950288295746,0.9141414141414141,0.8872549019607843,0.900497512437811,0.9086345381526104,181,17,23,11,0.8538961,0.3578713536262512,0.9067164179104478,0.9239543726235742,0.9152542372881356,0.9101123595505618,243,25,20,20
17,0.6875,0.68632424,0.8491379,0.3433653712272644,0.9121951219512195,0.9166666666666666,0.9144254278728606,0.9130859375000001,187,18,17,10,0.85714287,0.3532255291938782,0.9010989010989011,0.935361216730038,0.917910447761194,0.9077490774907748,246,27,17,18
18,0.734375,0.51232827,0.8491379,0.35748153924942017,0.9203980099502488,0.9068627450980392,0.9135802469135803,0.9176587301587301,185,16,19,12,0.85064936,0.3692171275615692,0.9063670411985019,0.9201520912547528,0.9132075471698113,0.909090909090909,242,25,21,20
19,0.71875,0.660674,0.8362069,0.4472369849681854,0.946236559139785,0.8627450980392157,0.9025641025641027,0.9282700421940929,176,10,28,18,0.8214286,0.44289878010749817,0.916,0.870722433460076,0.8927875243664718,0.9065716547901821,229,21,34,24
20,0.703125,0.7117008,0.67672414,0.7005218267440796,0.9574468085106383,0.6617647058823529,0.782608695652174,0.8789062500000001,135,6,69,22,0.6948052,0.661064624786377,0.9424083769633508,0.6844106463878327,0.7929515418502202,0.8763388510223955,180,11,83,34
21,0.6875,0.5118691,0.45689654,1.08144211769104,0.9534883720930233,0.4019607843137255,0.5655172413793104,0.748175182481752,82,4,122,24,0.49675325,0.9933137893676758,0.9655172413793104,0.42585551330798477,0.5910290237467019,0.7702888583218707,112,4,151,41
22,0.578125,0.8380877,0.41379312,1.1739146709442139,0.9722222222222222,0.3431372549019608,0.5072463768115942,0.711382113821138,70,2,134,26,0.46753246,1.0565896034240723,0.9714285714285714,0.38783269961977185,0.5543478260869564,0.7467057101024889,102,3,161,42
23,0.546875,0.8757026,0.5646552,0.9411411881446838,0.963963963963964,0.5245098039215687,0.6793650793650794,0.8256172839506173,107,4,97,24,0.58441556,0.8311265707015991,0.972027972027972,0.5285171102661597,0.6847290640394087,0.8323353293413173,139,4,124,41
24,0.6875,0.5593648,0.6594828,0.7383919358253479,0.9629629629629629,0.6372549019607843,0.7669616519174042,0.8736559139784946,130,5,74,23,0.6948052,0.6347105503082275,0.9720670391061452,0.6615969581749049,0.7873303167420815,0.8886618998978548,174,5,89,40
25,0.734375,0.63245577,0.73275864,0.5686711072921753,0.9493670886075949,0.7352941176470589,0.8287292817679558,0.8971291866028708,150,8,54,20,0.8019481,0.47760045528411865,0.9508928571428571,0.8098859315589354,0.8747433264887063,0.9188955996548749,213,11,50,34
26,0.71875,0.5536278,0.8146552,0.44633200764656067,0.93048128342246,0.8529411764705882,0.8900255754475703,0.9138655462184875,174,13,30,15,0.8636364,0.3708881139755249,0.9510204081632653,0.8859315589353612,0.9173228346456693,0.9372485921158488,233,12,30,33
27,0.765625,0.57303095,0.82758623,0.4121628999710083,0.9315789473684211,0.8676470588235294,0.8984771573604061,0.9180497925311203,177,13,27,15,0.8863636,0.3487718403339386,0.9453125,0.9201520912547528,0.932562620423892,0.94017094017094,242,14,21,31
