label,fold,epoch,accuracy,precision,recall,f05,gmean,auc,mcc,tp,fp,fn,tn
a,0,6079,0.78246754,0.8229665071770335,0.8514851485148515,0.8285163776493255,0.8371043893006326,0.8253315897627499,0.5111074157236812,172,37,30,69
a,1,4850,0.77272725,0.820627802690583,0.8591549295774648,0.8280542986425338,0.8396704246488247,0.8179886335557203,0.45265283130690054,183,40,30,55
a,2,8199,0.8214286,0.9045454545454544,0.8540772532188842,0.893980233602875,0.8789492005968312,0.8524177396280401,0.5454139664968118,199,21,34,54
a,3,6701,0.7435065,0.8116591928251121,0.8302752293577982,0.8153153153153154,0.8209144428521375,0.7748216106014271,0.3699318370087003,181,42,37,48
a,4,7479,0.78896105,0.8817733990147784,0.8136363636363636,0.8672480620155041,0.8470200127067015,0.8381714876033058,0.5155066696336543,179,24,41,64
h,0,4090,0.75,0.7633587786259542,0.9302325581395348,0.7917656373713381,0.8426750200519132,0.8123030757689421,0.3394848120444608,200,62,15,31
h,1,6318,0.77272725,0.8657407407407407,0.8201754385964912,0.8562271062271062,0.8426501597625721,0.8316337719298246,0.4384794397371874,187,29,41,51
h,2,6236,0.78896105,0.8434782608695652,0.8699551569506726,0.8486439195100614,0.8566144189886503,0.8243735162226324,0.45888082162966054,194,36,29,49
h,3,6131,0.7922078,0.8789237668161435,0.8412017167381974,0.8711111111111112,0.8598559074215535,0.8452074391988555,0.4620339260012492,196,27,37,48
h,4,5007,0.74025977,0.7894736842105263,0.8744394618834079,0.8051197357555742,0.8308711955484823,0.7636507517805329,0.2946231291348809,195,52,28,33
v,0,3411,0.89935064,0.9427480916030534,0.9391634980988594,0.9420289855072462,0.9409540879001204,0.9397549640895648,0.6003513105654432,247,15,16,30
v,1,3492,0.83766234,0.8991935483870968,0.8991935483870968,0.8991935483870968,0.8991935483870968,0.8735215053763441,0.4825268817204301,223,25,25,35
v,2,2112,0.89935064,0.9448818897637796,0.9338521400778209,0.9426551453260014,0.939350826303294,0.9291218432898452,0.6445385148553863,240,14,17,37
v,3,8825,0.90584415,0.9610894941634242,0.9285714285714286,0.9544049459041732,0.9446905549333722,0.9407447189402075,0.6374740659918542,247,10,19,32
v,4,3381,0.8733766,0.9634146341463414,0.8876404494382022,0.947242206235012,0.9247517498491147,0.9045400566365214,0.5660359288094621,237,9,30,32
