epoch,train-acc,train-loss,valid-acc,valid-loss,valid-precision,valid-recall,valid-f1.0-score,valid-f0.5-score,valid-tp,valid-fp,valid-fn,valid-tn,test-acc,test-loss,test-precision,test-recall,test-f1.0-score,test-f0.5-score,test-tp,test-fp,test-fn,test-tn
1,0.453125,0.8901005,0.2750000059604645,1.3836418390274048,0.0,0.0,0.0,0.0,0,0,174,66,0.28999999165534973,1.3447445631027222,0.0,0.0,0.0,0.0,0,0,213,87
2,0.515625,3.3492854,0.6041666865348816,0.6705692410469055,0.7046632124352331,0.7816091954022989,0.7411444141689373,0.718816067653277,136,57,38,9,0.6066666841506958,0.6723055839538574,0.6970954356846473,0.7887323943661971,0.7400881057268721,0.713678844519966,168,73,45,14
3,0.4375,0.7860811,0.7250000238418579,0.9581928849220276,0.725,1.0,0.8405797101449275,0.7671957671957672,174,66,0,0,0.7099999785423279,1.0125741958618164,0.71,1.0,0.8304093567251462,0.7537154989384288,213,87,0,0
4,0.625,2.4505706,0.7250000238418579,0.9567227959632874,0.725,1.0,0.8405797101449275,0.7671957671957672,174,66,0,0,0.7099999785423279,1.0122135877609253,0.71,1.0,0.8304093567251462,0.7537154989384288,213,87,0,0
5,0.46875,2.7249193,0.7250000238418579,0.6151350140571594,0.725,1.0,0.8405797101449275,0.7671957671957672,174,66,0,0,0.7099999785423279,0.6387314796447754,0.71,1.0,0.8304093567251462,0.7537154989384288,213,87,0,0
6,0.40625,0.7095587,0.27916666865348816,1.160248875617981,1.0,0.005747126436781609,0.011428571428571429,0.028089887640449437,1,0,173,66,0.28999999165534973,1.150275468826294,0.0,0.0,0.0,0.0,0,0,213,87
7,0.578125,2.0300927,0.2750000059604645,1.4488482475280762,0.0,0.0,0.0,0.0,0,0,174,66,0.28999999165534973,1.4242513179779053,0.0,0.0,0.0,0.0,0,0,213,87
8,0.5625,1.5397162,0.2750000059604645,0.9620894193649292,0.5,0.011494252873563218,0.02247191011235955,0.052631578947368425,2,2,172,64,0.2933333218097687,0.9410142302513123,1.0,0.004694835680751174,0.009345794392523364,0.023041474654377878,1,0,212,87
9,0.546875,0.7135328,0.6041666865348816,0.6722174286842346,0.7453416149068323,0.6896551724137931,0.7164179104477612,0.7334963325183373,120,41,54,25,0.6066666841506958,0.6656556129455566,0.7251184834123223,0.7183098591549296,0.7216981132075473,0.7237464522232735,153,58,60,29
10,0.515625,1.3862671,0.5333333611488342,0.701788604259491,0.7313432835820896,0.5632183908045977,0.6363636363636364,0.6901408450704225,98,36,76,30,0.5299999713897705,0.6924937963485718,0.7142857142857143,0.5633802816901409,0.6299212598425197,0.6779661016949153,120,48,93,39
11,0.5,0.7968608,0.3583333194255829,0.8459454774856567,0.7777777777777778,0.16091954022988506,0.26666666666666666,0.44025157232704404,28,8,146,58,0.3499999940395355,0.8259270191192627,0.7142857142857143,0.14084507042253522,0.23529411764705882,0.3937007874015748,30,12,183,75
12,0.421875,1.1388328,0.3708333373069763,0.8286246657371521,0.7555555555555555,0.19540229885057472,0.3105022831050228,0.480225988700565,34,11,140,55,0.3566666543483734,0.8078941106796265,0.6724137931034483,0.18309859154929578,0.28782287822878233,0.43820224719101125,39,19,174,68
13,0.53125,0.8690704,0.4958333373069763,0.725962221622467,0.7154471544715447,0.5057471264367817,0.5925925925925926,0.6606606606606606,88,35,86,31,0.5099999904632568,0.711895763874054,0.7088607594936709,0.5258215962441315,0.6037735849056605,0.6627218934911242,112,46,101,41
14,0.46875,0.697103,0.6166666746139526,0.6664787530899048,0.7252747252747253,0.7586206896551724,0.7415730337078651,0.7317073170731707,132,50,42,16,0.6066666841506958,0.6597907543182373,0.70042194092827,0.7793427230046949,0.7377777777777779,0.714900947459087,166,71,47,16
15,0.484375,0.84478986,0.5958333611488342,0.674822986125946,0.72,0.7241379310344828,0.7220630372492836,0.7208237986270022,126,49,48,17,0.5799999833106995,0.6669490337371826,0.6916299559471366,0.7370892018779343,0.7136363636363636,0.7002676181980375,157,70,56,17
16,0.546875,0.7441103,0.512499988079071,0.7237522006034851,0.7175572519083969,0.5402298850574713,0.6163934426229508,0.673352435530086,94,37,80,29,0.5433333516120911,0.7090466022491455,0.7183908045977011,0.5868544600938967,0.6459948320413437,0.6875687568756875,125,49,88,38
17,0.53125,0.6902382,0.4541666805744171,0.7805697917938232,0.7263157894736842,0.39655172413793105,0.5130111524163569,0.6227436823104693,69,26,105,40,0.46000000834465027,0.7595959901809692,0.717948717948718,0.39436619718309857,0.509090909090909,0.6167400881057269,84,33,129,54
18,0.546875,0.7038298,0.4333333373069763,0.8101267218589783,0.7261904761904762,0.3505747126436782,0.4728682170542636,0.5980392156862745,61,23,113,43,0.4266666769981384,0.7864573001861572,0.7204301075268817,0.3145539906103286,0.4379084967320261,0.5726495726495727,67,26,146,61
19,0.4375,0.824348,0.4833333194255829,0.7468371987342834,0.711864406779661,0.4827586206896552,0.5753424657534247,0.6501547987616099,84,34,90,32,0.5166666507720947,0.7294155955314636,0.7328767123287672,0.5023474178403756,0.5961002785515321,0.671267252195734,107,39,106,48
20,0.484375,0.6987848,0.6041666865348816,0.684693455696106,0.7337278106508875,0.7126436781609196,0.7230320699708455,0.7294117647058823,124,45,50,21,0.5766666531562805,0.6758421063423157,0.6972477064220184,0.7136150234741784,0.7053364269141532,0.7004608294930876,152,66,61,21
21,0.453125,0.77031875,0.6083333492279053,0.682751476764679,0.7352941176470589,0.7183908045977011,0.7267441860465116,0.7318501170960188,125,45,49,21,0.5899999737739563,0.6742028594017029,0.7027027027027027,0.7323943661971831,0.7172413793103449,0.7084468664850136,156,66,57,21
22,0.453125,0.76865417,0.5,0.7315024137496948,0.7213114754098361,0.5057471264367817,0.5945945945945946,0.6646525679758308,88,34,86,32,0.5266666412353516,0.7158238887786865,0.7125748502994012,0.5586854460093896,0.6263157894736843,0.6753688989784336,119,48,94,39
23,0.578125,0.6886858,0.44999998807907104,0.8123685121536255,0.7386363636363636,0.3735632183908046,0.4961832061068702,0.6178707224334601,65,23,109,43,0.4333333373069763,0.7882737517356873,0.7216494845360825,0.3286384976525822,0.4516129032258065,0.5823627287853579,70,27,143,60
24,0.515625,0.76769423,0.4333333373069763,0.8239835500717163,0.7375,0.3390804597701149,0.4645669291338583,0.597165991902834,59,21,115,45,0.4233333468437195,0.7990836501121521,0.7222222222222222,0.3051643192488263,0.429042904290429,0.5671902268760908,65,25,148,62
25,0.484375,0.8190373,0.4791666567325592,0.7494879364967346,0.7094017094017094,0.47701149425287354,0.570446735395189,0.6464174454828662,83,34,91,32,0.5133333206176758,0.7321859002113342,0.7248322147651006,0.5070422535211268,0.5966850828729281,0.6674907292954264,108,41,105,46
26,0.484375,0.7098473,0.6083333492279053,0.6756318807601929,0.7272727272727273,0.735632183908046,0.7314285714285715,0.7289293849658314,128,48,46,18,0.5933333039283752,0.6690800189971924,0.6986899563318777,0.7511737089201878,0.7239819004524887,0.7085916740478299,160,69,53,18
27,0.53125,0.7146692,0.6333333253860474,0.6478554606437683,0.7216494845360825,0.8045977011494253,0.7608695652173912,0.7368421052631579,140,54,34,12,0.6266666650772095,0.6474044919013977,0.6934865900383141,0.8497652582159625,0.7637130801687763,0.7199681782020684,181,80,32,7
28,0.453125,0.8571036,0.6083333492279053,0.6714845299720764,0.7222222222222222,0.7471264367816092,0.7344632768361581,0.7270693512304249,130,50,44,16,0.5933333039283752,0.6657524108886719,0.6952789699570815,0.7605633802816901,0.726457399103139,0.7074235807860261,162,71,51,16
29,0.5,0.7308821,0.5,0.7308898568153381,0.7213114754098361,0.5057471264367817,0.5945945945945946,0.6646525679758308,88,34,86,32,0.5299999713897705,0.7158898115158081,0.7195121951219512,0.5539906103286385,0.6259946949602122,0.6789413118527042,118,46,95,41
30,0.421875,0.7091514,0.47083333134651184,0.763152003288269,0.7117117117117117,0.4540229885057471,0.5543859649122806,0.6391585760517798,79,32,95,34,0.5,0.7443326115608215,0.7299270072992701,0.4694835680751174,0.5714285714285713,0.657030223390276,100,37,113,50
31,0.46875,0.738816,0.49166667461395264,0.7480939030647278,0.7203389830508474,0.4885057471264368,0.5821917808219178,0.6578947368421052,85,33,89,33,0.5066666603088379,0.7309578657150269,0.7181208053691275,0.5023474178403756,0.5911602209944751,0.6613102595797281,107,42,106,45
32,0.453125,0.72994745,0.5666666626930237,0.7009194493293762,0.7302631578947368,0.6379310344827587,0.6809815950920245,0.7097186700767264,111,41,63,25,0.5600000023841858,0.6900154948234558,0.69377990430622,0.6807511737089202,0.6872037914691943,0.6911344137273594,145,64,68,23
33,0.4375,0.6998415,0.6000000238418579,0.6834542751312256,0.7321428571428571,0.7068965517241379,0.719298245614035,0.726950354609929,123,45,51,21,0.5799999833106995,0.6753555536270142,0.6986301369863014,0.7183098591549296,0.7083333333333335,0.7024793388429752,153,66,60,21
34,0.5,0.7036548,0.6000000238418579,0.6834489703178406,0.7321428571428571,0.7068965517241379,0.719298245614035,0.726950354609929,123,45,51,21,0.5799999833106995,0.6752771735191345,0.6986301369863014,0.7183098591549296,0.7083333333333335,0.7024793388429752,153,66,60,21
35,0.515625,0.6958461,0.574999988079071,0.6948801875114441,0.725,0.6666666666666666,0.6946107784431137,0.7125307125307125,116,44,58,22,0.5600000023841858,0.6847237348556519,0.6919431279620853,0.6854460093896714,0.6886792452830189,0.6906338694418166,146,65,67,22
36,0.5625,0.686263,0.5708333253860474,0.699610710144043,0.7320261437908496,0.6436781609195402,0.6850152905198776,0.7124681933842238,112,41,62,25,0.5600000023841858,0.6886543035507202,0.69377990430622,0.6807511737089202,0.6872037914691943,0.6911344137273594,145,64,68,23
37,0.59375,0.68399656,0.6041666865348816,0.6875563859939575,0.7365269461077845,0.7068965517241379,0.7214076246334311,0.7304038004750594,123,44,51,22,0.5766666531562805,0.6784789562225342,0.6972477064220184,0.7136150234741784,0.7053364269141532,0.7004608294930876,152,66,61,21
38,0.421875,0.71240604,0.5583333373069763,0.7028427124023438,0.7297297297297297,0.6206896551724138,0.6708074534161491,0.7049608355091384,108,40,66,26,0.5566666722297668,0.6912573575973511,0.6941747572815534,0.6713615023474179,0.6825775656324582,0.6894889103182258,143,63,70,24
39,0.5625,0.69193876,0.48750001192092896,0.7517620325088501,0.717948717948718,0.4827586206896552,0.577319587628866,0.6542056074766356,84,33,90,33,0.49666666984558105,0.7337343692779541,0.7123287671232876,0.48826291079812206,0.5793871866295265,0.6524466750313677,104,42,109,45
40,0.484375,0.73664975,0.4791666567325592,0.7608386278152466,0.7168141592920354,0.46551724137931033,0.5644599303135889,0.6469648562300319,81,32,93,34,0.5066666603088379,0.741752028465271,0.7372262773722628,0.47417840375586856,0.5771428571428571,0.6636005256241787,101,36,112,51
41,0.53125,0.72081566,0.4958333373069763,0.737004816532135,0.71900826446281,0.5,0.5898305084745763,0.6610942249240122,87,34,87,32,0.5299999713897705,0.7206138372421265,0.7278481012658228,0.539906103286385,0.6199460916442049,0.6804733727810651,115,43,98,44
42,0.625,0.66017485,0.5166666507720947,0.7222169637680054,0.7265625,0.5344827586206896,0.6158940397350994,0.6778425655976676,93,35,81,31,0.5633333325386047,0.707638680934906,0.7252747252747253,0.6197183098591549,0.6683544303797468,0.7013815090329436,132,50,81,37
43,0.515625,0.6945158,0.5666666626930237,0.6996841430664062,0.7272727272727273,0.6436781609195402,0.6829268292682927,0.708860759493671,112,42,62,24,0.5633333325386047,0.6882201433181763,0.6971153846153846,0.6807511737089202,0.6888361045130641,0.69377990430622,145,63,68,24
44,0.640625,0.6897731,0.6041666865348816,0.6760738492012024,0.7231638418079096,0.735632183908046,0.7293447293447294,0.7256235827664399,128,49,46,17,0.5899999737739563,0.6684747338294983,0.6956521739130435,0.7511737089201878,0.7223476297968396,0.706090026478376,160,70,53,17
45,0.5625,0.68267596,0.612500011920929,0.6605548858642578,0.7189189189189189,0.764367816091954,0.7409470752089136,0.7275711159737418,133,52,41,14,0.6200000047683716,0.6560128927230835,0.6987951807228916,0.8169014084507042,0.7532467532467533,0.7196029776674938,174,75,39,12
46,0.484375,0.7373438,0.5958333611488342,0.6711898446083069,0.712707182320442,0.7413793103448276,0.7267605633802816,0.7182628062360802,129,52,45,14,0.6033333539962769,0.6644588708877563,0.7008547008547008,0.7699530516431925,0.7337807606263981,0.7136640557006092,164,70,49,17
47,0.46875,0.7196145,0.550000011920929,0.706053614616394,0.7291666666666666,0.603448275862069,0.6603773584905661,0.7000000000000001,105,39,69,27,0.5566666722297668,0.6935316920280457,0.7,0.6572769953051644,0.6779661016949152,0.6910167818361305,140,60,73,27
48,0.5,0.68958616,0.49166667461395264,0.7388858795166016,0.7166666666666667,0.4942528735632184,0.5850340136054422,0.6574923547400613,86,34,88,32,0.5199999809265137,0.7220849394798279,0.7225806451612903,0.5258215962441315,0.608695652173913,0.6722689075630252,112,43,101,44
49,0.484375,0.7261782,0.48750001192092896,0.7399356365203857,0.7142857142857143,0.4885057471264368,0.5802047781569966,0.6538461538461539,85,34,89,32,0.5199999809265137,0.7230032086372375,0.7225806451612903,0.5258215962441315,0.608695652173913,0.6722689075630252,112,43,101,44
50,0.515625,0.70547557,0.5375000238418579,0.7186982035636902,0.7368421052631579,0.5632183908045977,0.6384364820846905,0.6940509915014164,98,35,76,31,0.5666666626930237,0.7044070363044739,0.7243243243243244,0.6291079812206573,0.6733668341708543,0.7030430220356768,134,51,79,36
51,0.390625,0.72062886,0.5958333611488342,0.6715758442878723,0.712707182320442,0.7413793103448276,0.7267605633802816,0.7182628062360802,129,52,45,14,0.6000000238418579,0.6647411584854126,0.6995708154506438,0.7652582159624414,0.7309417040358746,0.7117903930131005,163,70,50,17
52,0.546875,0.6893485,0.6166666746139526,0.646919846534729,0.7135416666666666,0.7873563218390804,0.7486338797814207,0.727176220806794,137,55,37,11,0.6233333349227905,0.6455292701721191,0.6923076923076923,0.8450704225352113,0.7610993657505285,0.7182761372705506,180,80,33,7
53,0.59375,0.6952548,0.6458333134651184,0.6407831907272339,0.7236180904522613,0.8275862068965517,0.772117962466488,0.7422680412371134,144,55,30,11,0.6333333253860474,0.6410452127456665,0.6958174904942965,0.8591549295774648,0.7689075630252101,0.7233201581027668,183,80,30,7
54,0.53125,0.7685388,0.6083333492279053,0.65939861536026,0.7150537634408602,0.764367816091954,0.7388888888888889,0.724400871459695,133,53,41,13,0.6233333349227905,0.6549957990646362,0.7,0.8215962441314554,0.755939524838013,0.7213520197856554,175,75,38,12
