epoch,train-acc,train-loss,valid-acc,valid-loss,valid-precision,valid-recall,valid-f1.0-score,valid-f0.5-score,valid-tp,valid-fp,valid-fn,valid-tn,test-acc,test-loss,test-precision,test-recall,test-f1.0-score,test-f0.5-score,test-tp,test-fp,test-fn,test-tn
1,0.765625,0.5829693,0.7333333492279053,2.0902109146118164,0.7333333333333333,1.0,0.846153846153846,0.7746478873239436,176,64,0,0,0.7300000190734863,2.1114697456359863,0.73,1.0,0.8439306358381503,0.7716701902748413,219,81,0,0
2,0.8125,1.5600257,0.7333333492279053,1.474088191986084,0.7333333333333333,1.0,0.846153846153846,0.7746478873239436,176,64,0,0,0.7266666889190674,1.5464520454406738,0.7290969899665551,0.9954337899543378,0.8416988416988417,0.7703180212014135,218,81,1,0
3,0.78125,1.1014812,0.7333333492279053,0.659815788269043,0.7545454545454545,0.9431818181818182,0.8383838383838385,0.7859848484848485,166,54,10,10,0.7166666388511658,0.7076138257980347,0.7427536231884058,0.9360730593607306,0.8282828282828283,0.7747543461829176,205,71,14,10
4,0.515625,0.99672544,0.6333333253860474,0.6628208756446838,0.7588235294117647,0.7329545454545454,0.7456647398843931,0.7535046728971962,129,41,47,23,0.6299999952316284,0.6661624908447266,0.7454545454545455,0.7488584474885844,0.7471526195899773,0.7461328480436761,164,56,55,25
5,0.4375,0.8129703,0.737500011920929,0.6367019414901733,0.755656108597285,0.9488636363636364,0.8413098236775819,0.7877358490566037,167,54,9,10,0.7366666793823242,0.6346268057823181,0.7554744525547445,0.9452054794520548,0.8397565922920893,0.7870722433460076,207,67,12,14
6,0.5625,0.9423125,0.7208333611488342,0.6488944888114929,0.7658536585365854,0.8920454545454546,0.8241469816272966,0.7881526104417671,157,48,19,16,0.699999988079071,0.6310948729515076,0.763265306122449,0.8538812785388128,0.8060344827586207,0.7798165137614679,187,58,32,23
7,0.625,0.8745064,0.7250000238418579,0.6182569265365601,0.7619047619047619,0.9090909090909091,0.8290155440414507,0.7874015748031497,160,50,16,14,0.70333331823349,0.6041310429573059,0.7559055118110236,0.8767123287671232,0.8118393234672304,0.777327935222672,192,62,27,19
8,0.59375,0.822273,0.7083333134651184,0.6184794902801514,0.7623762376237624,0.875,0.8148148148148149,0.7825203252032521,154,48,22,16,0.7099999785423279,0.6088414192199707,0.7619047619047619,0.8767123287671232,0.8152866242038217,0.78239608801956,192,60,27,21
9,0.734375,0.5799434,0.75,0.5952891111373901,0.7660550458715596,0.9488636363636364,0.8477157360406092,0.7967557251908396,167,51,9,13,0.746666669845581,0.5890893340110779,0.7619047619047619,0.9497716894977168,0.8455284552845529,0.7932875667429443,208,65,11,16
10,0.75,0.5598186,0.75,0.58115553855896,0.7478632478632479,0.9943181818181818,0.853658536585366,0.7868705035971222,175,59,1,5,0.7300000190734863,0.5918435454368591,0.7395833333333334,0.9726027397260274,0.8402366863905325,0.7768052516411379,213,75,6,6
