epoch,train-acc,train-loss,valid-acc,valid-loss,valid-precision,valid-recall,valid-f1.0-score,valid-f0.5-score,valid-tp,valid-fp,valid-fn,valid-tn,test-acc,test-loss,test-precision,test-recall,test-f1.0-score,test-f0.5-score,test-tp,test-fp,test-fn,test-tn
1,0.5625,0.79597056,0.12916666269302368,3.476330280303955,0.0,0.0,0.0,0.0,0,0,209,31,0.12666666507720947,3.522104501724243,0.0,0.0,0.0,0.0,0,0,262,38
2,0.421875,1.6530547,0.5708333253860474,0.8409261107444763,0.9416666666666667,0.5406698564593302,0.6869300911854103,0.8200290275761974,113,7,96,24,0.54666668176651,0.8920286297798157,0.9315068493150684,0.5190839694656488,0.6666666666666666,0.8037825059101653,136,10,126,28
3,0.65625,0.686193,0.8166666626930237,0.41391727328300476,0.9230769230769231,0.861244019138756,0.8910891089108912,0.910010111223458,180,15,29,16,0.8366666436195374,0.42724284529685974,0.927710843373494,0.8816793893129771,0.9041095890410958,0.9181240063593005,231,18,31,20
4,0.59375,0.9685427,0.7333333492279053,0.5526197552680969,0.9239766081871345,0.7559808612440191,0.8315789473684211,0.8846584546472565,158,13,51,18,0.7733333110809326,0.5415855646133423,0.9330357142857143,0.7977099236641222,0.8600823045267489,0.9024179620034543,209,15,53,23
5,0.65625,0.7657546,0.19166666269302368,1.3895503282546997,0.8,0.09569377990430622,0.17094017094017094,0.32362459546925565,20,5,189,26,0.2199999988079071,1.3175337314605713,0.9117647058823529,0.1183206106870229,0.20945945945945948,0.38944723618090454,31,3,231,35
6,0.4375,0.9845294,0.47083333134651184,0.8598642945289612,0.9456521739130435,0.41626794258373206,0.5780730897009967,0.7538994800693241,87,5,122,26,0.5099999904632568,0.8498786687850952,0.9457364341085271,0.46564885496183206,0.6240409207161125,0.7840616966580978,122,7,140,31
7,0.546875,0.7146208,0.7875000238418579,0.5127796530723572,0.9388888888888889,0.8086124401913876,0.8688946015424164,0.9095801937567277,169,11,40,20,0.7900000214576721,0.528325617313385,0.9383259911894273,0.8129770992366412,0.8711656441717791,0.9102564102564102,213,14,49,24
8,0.515625,0.74481374,0.8583333492279053,0.35770273208618164,0.9107981220657277,0.9282296650717703,0.9194312796208531,0.9142318567389256,194,19,15,12,0.8566666841506958,0.3705354630947113,0.9101123595505618,0.9274809160305344,0.9187145557655955,0.9135338345864661,243,24,19,14
9,0.578125,0.8809916,0.862500011920929,0.37610092759132385,0.9150943396226415,0.9282296650717703,0.9216152019002375,0.9176915799432354,194,18,15,13,0.8600000143051147,0.38951224088668823,0.9135338345864662,0.9274809160305344,0.9204545454545456,0.9162895927601811,243,23,19,15
10,0.734375,0.5788649,0.7791666388511658,0.5068164467811584,0.9333333333333333,0.8038277511961722,0.8637532133676092,0.9041980624327234,168,12,41,19,0.7599999904632568,0.5318086743354797,0.9241071428571429,0.7900763358778626,0.8518518518518519,0.8937823834196891,207,17,55,21
11,0.734375,0.5419388,0.5916666388511658,0.7075597047805786,0.937007874015748,0.569377990430622,0.7083333333333334,0.8298465829846582,119,8,90,23,0.5766666531562805,0.746436357498169,0.9299363057324841,0.5572519083969466,0.6968973747016707,0.8202247191011237,146,11,116,27
12,0.625,0.669539,0.28333333134651184,1.1357280015945435,0.9512195121951219,0.18660287081339713,0.312,0.5227882037533512,39,2,170,29,0.30666667222976685,1.1862181425094604,0.9354838709677419,0.22137404580152673,0.3580246913580247,0.5686274509803921,58,4,204,34
13,0.5625,0.81727463,0.34583333134651184,1.0678551197052002,0.9642857142857143,0.2583732057416268,0.4075471698113208,0.6235565819861432,54,2,155,29,0.3499999940395355,1.1426501274108887,0.958904109589041,0.26717557251908397,0.417910447761194,0.631768953068592,70,3,192,35
14,0.5625,0.72193605,0.6166666746139526,0.7258911728858948,0.9534883720930233,0.5885167464114832,0.7278106508875739,0.8482758620689657,123,6,86,25,0.5533333420753479,0.8074953556060791,0.9383561643835616,0.5229007633587787,0.6715686274509803,0.8096926713947991,137,9,125,29
15,0.625,0.6140845,0.7708333134651184,0.5269771218299866,0.9425287356321839,0.784688995215311,0.856396866840731,0.9060773480662981,164,10,45,21,0.6966666579246521,0.5986535549163818,0.9211822660098522,0.7137404580152672,0.8043010752688172,0.8705772811918062,187,16,75,22
16,0.671875,0.570158,0.8166666626930237,0.46749147772789,0.9459459459459459,0.8373205741626795,0.8883248730964467,0.922023182297155,175,10,34,21,0.7433333396911621,0.5372253656387329,0.9111111111111111,0.7824427480916031,0.8418891170431211,0.8820998278829604,205,20,57,18
17,0.65625,0.67446667,0.8458333611488342,0.4323216676712036,0.9432989690721649,0.8755980861244019,0.9081885856079405,0.9289340101522844,183,11,26,20,0.7833333611488342,0.4957292675971985,0.9121338912133892,0.8320610687022901,0.8702594810379243,0.8949096880131362,218,21,44,17
18,0.703125,0.5928563,0.8208333253860474,0.4677675664424896,0.9510869565217391,0.8373205741626795,0.8905852417302801,0.9259259259259258,175,9,34,22,0.7599999904632568,0.5332133769989014,0.9241071428571429,0.7900763358778626,0.8518518518518519,0.8937823834196891,207,17,55,21
19,0.59375,0.8084811,0.7416666746139526,0.5759803056716919,0.9741935483870968,0.722488038277512,0.8296703296703297,0.9107358262967431,151,4,58,27,0.6933333277702332,0.635188102722168,0.9521276595744681,0.683206106870229,0.7955555555555555,0.8826429980276134,179,9,83,29
