epoch,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss,valid-precision,valid-recall,valid-f1.0-score,valid-f0.5-score,valid-tp,valid-fp,valid-fn,valid-tn,test-acc,test-loss,test-precision,test-recall,test-f1.0-score,test-f0.5-score,test-tp,test-fp,test-fn,test-tn
1,0.578125,0.677865,0.7083333134651184,0.7168199419975281,0.7280701754385965,0.9540229885057471,0.8258706467661693,0.7642725598526705,166,62,8,4,0.6833333373069763,0.7079921364784241,0.7169117647058824,0.9154929577464789,0.8041237113402062,0.7494235203689469,195,77,18,10
2,0.546875,1.0491483,0.3333333432674408,1.2337580919265747,0.75,0.1206896551724138,0.2079207920792079,0.36713286713286714,21,7,153,59,0.35333332419395447,1.190178394317627,0.7714285714285715,0.1267605633802817,0.21774193548387097,0.3824362606232294,27,8,186,79
3,0.453125,0.93058366,0.4124999940395355,0.8742392659187317,0.6987951807228916,0.3333333333333333,0.4513618677042802,0.5731225296442687,58,25,116,41,0.49000000953674316,0.838140070438385,0.7586206896551724,0.4131455399061033,0.5349544072948328,0.6499261447562777,88,28,125,59
4,0.515625,0.7047888,0.36250001192092896,0.9109893441200256,0.7333333333333333,0.1896551724137931,0.30136986301369867,0.46610169491525427,33,12,141,54,0.4033333361148834,0.8667041063308716,0.7741935483870968,0.22535211267605634,0.34909090909090906,0.5206073752711498,48,14,165,73
5,0.546875,0.7785293,0.7166666388511658,0.6112254858016968,0.7304347826086957,0.9655172413793104,0.8316831683168318,0.7678244972577697,168,62,6,4,0.70333331823349,0.6072472929954529,0.7183098591549296,0.9577464788732394,0.8209255533199195,0.7561156412157154,204,80,9,7
6,0.546875,0.74624974,0.6708333492279053,0.6178377866744995,0.7317073170731707,0.8620689655172413,0.7915567282321899,0.7545271629778671,150,55,24,11,0.6833333373069763,0.607643723487854,0.73046875,0.8779342723004695,0.7974413646055437,0.7558609539207761,187,69,26,18
7,0.46875,0.80863124,0.46666666865348816,0.7794608473777771,0.7613636363636364,0.3850574712643678,0.5114503816793893,0.6368821292775665,67,21,107,45,0.5366666913032532,0.7428040504455566,0.7936507936507936,0.4694835680751174,0.5899705014749262,0.697350069735007,100,26,113,61
8,0.515625,0.7037884,0.3583333194255829,0.876322865486145,0.7272727272727273,0.1839080459770115,0.29357798165137616,0.45714285714285713,32,12,142,54,0.3933333456516266,0.8286107182502747,0.7719298245614035,0.20657276995305165,0.32592592592592595,0.49886621315192736,44,13,169,74
9,0.453125,0.8805944,0.675000011920929,0.6253889799118042,0.7424242424242424,0.8448275862068966,0.7903225806451614,0.7608695652173914,147,51,27,15,0.6866666674613953,0.6012952923774719,0.7315175097276264,0.8826291079812206,0.8,0.7574536663980661,188,69,25,18
10,0.625,0.67721117,0.7083333134651184,0.6114951968193054,0.7280701754385965,0.9540229885057471,0.8258706467661693,0.7642725598526705,166,62,8,4,0.7133333086967468,0.5904199481010437,0.7259786476868327,0.9577464788732394,0.8259109311740891,0.7629020194465219,204,77,9,10
11,0.5,0.76607937,0.6625000238418579,0.6429547667503357,0.743455497382199,0.8160919540229885,0.7780821917808219,0.7569296375266524,142,49,32,17,0.6899999976158142,0.6107831597328186,0.7521008403361344,0.8403755868544601,0.7937915742793792,0.7682403433476395,179,59,34,28
12,0.5625,0.77320766,0.3291666805744171,0.8552084565162659,0.6585365853658537,0.15517241379310345,0.25116279069767444,0.3994082840236686,27,14,147,52,0.4000000059604645,0.8129153251647949,0.7796610169491526,0.215962441314554,0.338235294117647,0.512249443207127,46,13,167,74
13,0.453125,0.8016844,0.4583333432674408,0.7703390717506409,0.7037037037037037,0.4367816091954023,0.5390070921985816,0.6270627062706271,76,32,98,34,0.5233333110809326,0.7349771857261658,0.7966101694915254,0.4413145539906103,0.5679758308157099,0.6861313868613139,94,24,119,63
14,0.59375,0.6754415,0.5458333492279053,0.7344908118247986,0.7407407407407407,0.5747126436781609,0.6472491909385113,0.7002801120448178,100,35,74,31,0.5866666436195374,0.705227792263031,0.7986577181208053,0.5586854460093896,0.6574585635359116,0.7354758961681087,119,30,94,57
15,0.484375,0.7160872,0.5625,0.7159687280654907,0.7446808510638298,0.603448275862069,0.6666666666666665,0.7113821138211381,105,36,69,30,0.6066666841506958,0.6912479400634766,0.7987421383647799,0.596244131455399,0.6827956989247311,0.7479387514723205,127,32,86,55
16,0.609375,0.6678898,0.6583333611488342,0.6337956786155701,0.7446808510638298,0.8045977011494253,0.7734806629834253,0.755939524838013,140,48,34,18,0.6766666769981384,0.6171008944511414,0.75,0.8169014084507042,0.7820224719101124,0.7624890446976337,174,58,39,29
17,0.65625,0.7015124,0.6416666507720947,0.6633458733558655,0.7682926829268293,0.7241379310344828,0.7455621301775147,0.7590361445783134,126,38,48,28,0.6333333253860474,0.6511083245277405,0.764102564102564,0.6995305164319249,0.7303921568627451,0.7502517623363544,149,46,64,41
18,0.625,0.6594129,0.6458333134651184,0.639423668384552,0.7602339181286549,0.7471264367816092,0.7536231884057971,0.7575757575757576,130,41,44,25,0.6466666460037231,0.6346723437309265,0.7559808612440191,0.7417840375586855,0.7488151658767773,0.7530981887511916,158,51,55,36
19,0.609375,0.6770116,0.6291666626930237,0.6666520237922668,0.7741935483870968,0.6896551724137931,0.729483282674772,0.7556675062972292,120,35,54,31,0.6100000143051147,0.6603338718414307,0.7608695652173914,0.6572769953051644,0.7052896725440806,0.7376185458377241,140,44,73,43
20,0.46875,0.7396537,0.5249999761581421,0.7373014092445374,0.7727272727272727,0.4885057471264368,0.5985915492957745,0.6921824104234526,85,25,89,41,0.54666668176651,0.728871762752533,0.8031496062992126,0.4788732394366197,0.6000000000000001,0.7073509015256587,102,25,111,62
21,0.484375,0.7167923,0.5583333373069763,0.7096288204193115,0.765625,0.5632183908045977,0.6490066225165564,0.7142857142857142,98,30,76,36,0.5600000023841858,0.7054092288017273,0.7718120805369127,0.539906103286385,0.6353591160220994,0.7107540173053153,115,34,98,53
22,0.625,0.6406001,0.5208333134651184,0.71529221534729,0.7478991596638656,0.5114942528735632,0.6075085324232081,0.6846153846153846,89,30,85,36,0.5566666722297668,0.713900625705719,0.7857142857142857,0.5164319248826291,0.623229461756374,0.7115135834411385,110,30,103,57
23,0.640625,0.6686527,0.46666666865348816,0.7946168184280396,0.7948717948717948,0.3563218390804598,0.49206349206349204,0.6378600823045267,62,16,112,50,0.476666659116745,0.7945451140403748,0.8181818181818182,0.3380281690140845,0.4784053156146179,0.6371681415929203,72,16,141,71
24,0.625,0.6257581,0.32499998807907104,0.9474348425865173,0.8,0.09195402298850575,0.16494845360824742,0.31496062992125984,16,4,158,62,0.3566666543483734,0.9460955858230591,0.8846153846153846,0.107981220657277,0.19246861924686195,0.3627760252365931,23,3,190,84
25,0.515625,0.81468856,0.36666667461395264,0.9083012342453003,0.7894736842105263,0.1724137931034483,0.28301886792452835,0.46012269938650313,30,8,144,58,0.38333332538604736,0.9062289595603943,0.868421052631579,0.15492957746478872,0.26294820717131473,0.452054794520548,33,5,180,82
26,0.5625,0.72099805,0.5208333134651184,0.7716361880302429,0.8041237113402062,0.4482758620689655,0.5756457564575647,0.6939501779359432,78,19,96,47,0.5199999809265137,0.7707358598709106,0.8108108108108109,0.4225352112676056,0.5555555555555556,0.684931506849315,90,21,123,66
27,0.53125,0.744122,0.699999988079071,0.6153648495674133,0.7802197802197802,0.8160919540229885,0.797752808988764,0.7871396895787139,142,40,32,26,0.6633333563804626,0.6173563599586487,0.7545454545454545,0.7793427230046949,0.766743648960739,0.7593778591033852,166,54,47,33
28,0.546875,0.6889533,0.7291666865348816,0.5904358625411987,0.7684729064039408,0.896551724137931,0.8275862068965517,0.7910750507099391,156,47,18,19,0.6833333373069763,0.5972023010253906,0.7269230769230769,0.8873239436619719,0.799154334038055,0.7541899441340782,189,71,24,16
29,0.59375,0.6858627,0.7083333134651184,0.595634400844574,0.7452830188679245,0.9080459770114943,0.8186528497409327,0.7729941291585127,158,54,16,12,0.6966666579246521,0.6030132174491882,0.725925925925926,0.92018779342723,0.8115942028985508,0.7579273008507347,196,74,17,13
30,0.515625,0.7514288,0.7291666865348816,0.5873182415962219,0.7711442786069652,0.8908045977011494,0.8266666666666665,0.7924335378323107,155,46,19,20,0.6933333277702332,0.5915886163711548,0.7300380228136882,0.9014084507042254,0.8067226890756303,0.7588932806324111,192,71,21,16
31,0.453125,0.80178463,0.7083333134651184,0.6230226159095764,0.7954545454545454,0.8045977011494253,0.7999999999999999,0.7972665148063781,140,36,34,30,0.6399999856948853,0.622054934501648,0.7441860465116279,0.7511737089201878,0.7476635514018691,0.7455731593662628,160,55,53,32
32,0.609375,0.6713391,0.42500001192092896,0.7847806215286255,0.7727272727272727,0.29310344827586204,0.425,0.5821917808219177,51,15,123,51,0.47333332896232605,0.771533191204071,0.8021978021978022,0.3427230046948357,0.48026315789473684,0.6325823223570191,73,18,140,69
33,0.53125,0.7523626,0.36666667461395264,0.8896951079368591,0.8055555555555556,0.16666666666666666,0.27619047619047615,0.45597484276729555,29,7,145,59,0.3866666555404663,0.8680750727653503,0.7843137254901961,0.18779342723004694,0.30303030303030304,0.47961630695443636,40,11,173,76
34,0.65625,0.66449875,0.4000000059604645,0.8560823798179626,0.8125,0.22413793103448276,0.35135135135135137,0.5327868852459017,39,9,135,57,0.41333332657814026,0.8308135271072388,0.7936507936507936,0.2347417840375587,0.36231884057971014,0.5376344086021505,50,13,163,74
35,0.65625,0.6254387,0.49166667461395264,0.7544963955879211,0.7888888888888889,0.40804597701149425,0.5378787878787878,0.6647940074906367,71,19,103,47,0.49000000953674316,0.7325530648231506,0.7459016393442623,0.4272300469483568,0.5432835820895523,0.6490727532097004,91,31,122,56
36,0.546875,0.7074671,0.6833333373069763,0.6347583532333374,0.7816091954022989,0.7816091954022989,0.781609195402299,0.7816091954022989,136,38,38,28,0.6633333563804626,0.6272810697555542,0.7434782608695653,0.8028169014084507,0.7720090293453724,0.7546337157987644,171,59,42,28
37,0.453125,0.8039623,0.7250000238418579,0.6066693067550659,0.7755102040816326,0.8735632183908046,0.8216216216216217,0.7933194154488518,152,44,22,22,0.6800000071525574,0.6007992625236511,0.7349397590361446,0.8591549295774648,0.7922077922077921,0.7568238213399504,183,66,30,21
